image path: G000_IMG102.jpg, distances: [     23.536      5.8473      3.6161      9.7996], match: True, time: 0.339585542678833
image path: G006_IMG000.jpg, distances: [     7.1353      5.3796      1.4298      3.7714], match: True, time: 0.28746867179870605
image path: G006_IMG001.jpg, distances: [     8.4839      2.2414      10.461      11.207], match: True, time: 0.3340909481048584
image path: G006_IMG002.jpg, distances: [     7.1572      9.2511      262.51      262.24], match: False, time: 0.3119382858276367
image path: G006_IMG003.jpg, distances: [     4.8092      6.4057      8.1695      7.3089], match: True, time: 0.313859224319458
image path: G006_IMG004.jpg, distances: [     6.8702      6.5644      3.8904      8.8621], match: True, time: 0.3117249011993408
image path: G006_IMG005.jpg, distances: [     10.499      7.8352      6.0427         8.6], match: True, time: 0.32146263122558594
image path: G006_IMG006.jpg, distances: [     4.2593      5.9305      6.5798      11.981], match: True, time: 0.32271742820739746
image path: G006_IMG007.jpg, distances: [     8.4581       10.04      4.3202      4.1246], match: True, time: 0.20032453536987305
image path: G006_IMG008.jpg, distances: [     10.904      8.9277      8.4346      5.4536], match: True, time: 0.24716567993164062
image path: G006_IMG009.jpg, distances: [     1.0763      14.208      279.81      251.32], match: False, time: 0.28292012214660645
image path: G006_IMG010.jpg, distances: [     1681.5      855.04      1663.5      1216.4], match: False, time: 0.27195286750793457
image path: G006_IMG011.jpg, distances: [     12.696      1.7982       8.271       7.565], match: True, time: 0.31186509132385254
image path: G006_IMG012.jpg, distances: [       3.14      1.6122      3.3449      2.0058], match: True, time: 0.22899937629699707
image path: G006_IMG013.jpg, distances: [     7.9009      9.2088      9.5906      8.7684], match: True, time: 0.3746337890625
image path: G006_IMG014.jpg, distances: [     7.8786      9.6557      5.1291      6.0028], match: True, time: 0.2649564743041992
image path: G006_IMG015.jpg, distances: [     14.241      6.2152      8.8679      6.2706], match: True, time: 0.299731969833374
image path: G006_IMG016.jpg, distances: [     9.4166        12.9      2.3553      11.652], match: True, time: 0.21327900886535645
image path: G006_IMG017.jpg, distances: [     19.077      9.1514      4.3432      8.0729], match: True, time: 0.29952526092529297
image path: G006_IMG018.jpg, distances: [     3.8591      14.349       10.18      6.4629], match: True, time: 0.34774160385131836
image path: G006_IMG019.jpg, distances: [     4.1452      18.202      12.936      4.5849], match: True, time: 0.39240097999572754
image path: G006_IMG020.jpg, distances: [    0.83507      4.7517      6.2199      4.4832], match: True, time: 0.31971001625061035
image path: G006_IMG021.jpg, distances: [     4.0946      4.9135      10.927      3.3424], match: True, time: 0.37250638008117676
image path: G006_IMG022.jpg, distances: [     14.811      8.1168       11.74      6.0824], match: True, time: 0.36342763900756836
image path: G006_IMG023.jpg, distances: [    0.24742      5.0307      3.5502       11.86], match: True, time: 0.2091081142425537
image path: G006_IMG024.jpg, distances: [     7.7586      7.7944       7.342       3.049], match: True, time: 0.28084826469421387
image path: G006_IMG025.jpg, distances: [     8.1711      27.714      204.98      191.04], match: False, time: 0.3152906894683838
image path: G006_IMG026.jpg, distances: [      10.72      15.492      4.1717      5.1293], match: True, time: 0.39493608474731445
image path: G006_IMG027.jpg, distances: [     5.9091      6.6899      5.5687      9.8123], match: True, time: 0.3099663257598877
image path: G006_IMG028.jpg, distances: [     10.142      5.2624      6.1927      1.6548], match: True, time: 0.31020259857177734
image path: G006_IMG029.jpg, distances: [     2.1619      12.954      3.2992      10.398], match: True, time: 0.24568724632263184
image path: G006_IMG030.jpg, distances: [      3.879      10.536      3.2288     0.78616], match: True, time: 0.34981203079223633
image path: G006_IMG031.jpg, distances: [     5.9876      8.1854      8.1792       10.23], match: True, time: 0.20760202407836914
image path: G006_IMG032.jpg, distances: [     15.467      6.1636      10.822      12.164], match: True, time: 0.25281596183776855
image path: G006_IMG033.jpg, distances: [     2.2528      6.3552      8.8326      8.1624], match: True, time: 0.27617835998535156
image path: G006_IMG034.jpg, distances: [    0.50907      2.9192      289.49       306.1], match: False, time: 0.25831031799316406
image path: G006_IMG035.jpg, distances: [     4.4115      9.7311      8.4988      11.356], match: True, time: 0.3188955783843994
image path: G006_IMG036.jpg, distances: [     3.4186      8.3647      2.3424      13.346], match: True, time: 0.21445512771606445
image path: G006_IMG037.jpg, distances: [     4.1237      8.8879      1.1919      4.1151], match: True, time: 0.34120941162109375
image path: G006_IMG038.jpg, distances: [     10.764      2.6468       7.223      2.2777], match: True, time: 0.30869626998901367
image path: G006_IMG039.jpg, distances: [     18.422      3.4074      5.0009      6.1281], match: True, time: 0.28881359100341797
image path: G006_IMG040.jpg, distances: [     14.641      5.1796      5.3077      10.483], match: True, time: 0.3479044437408447
image path: G006_IMG041.jpg, distances: [     3.3676      15.559      14.061      10.554], match: True, time: 0.3438539505004883
image path: G006_IMG042.jpg, distances: [     6.6483      3.3788       7.385      2.0023], match: True, time: 0.3398096561431885
image path: G006_IMG043.jpg, distances: [     4.0613      8.1764      2.7448      15.741], match: True, time: 0.3085167407989502
image path: G006_IMG044.jpg, distances: [      4.806      10.924      4.2198      1.9614], match: True, time: 0.31178832054138184
image path: G006_IMG045.jpg, distances: [     1.3429      5.4402      203.54      210.09], match: False, time: 0.25154709815979004
image path: G006_IMG046.jpg, distances: [     4.2348      3.2813      11.812      2.6358], match: True, time: 0.25545358657836914
image path: G006_IMG047.jpg, distances: [       2236        3288      2051.6      1105.1], match: False, time: 0.2267313003540039
image path: G006_IMG048.jpg, distances: [     4.8027      2.4973      1.5911      2.5362], match: True, time: 0.3497889041900635
image path: G006_IMG049.jpg, distances: [     9.5269      16.764      3.4057      8.0487], match: True, time: 0.32622528076171875
image path: G006_IMG050.jpg, distances: [     9.8388      7.7525      5.1769      3.4253], match: True, time: 0.43922948837280273
image path: G006_IMG051.jpg, distances: [      9.519      2.6621      14.139      11.564], match: True, time: 0.31106138229370117
image path: G006_IMG052.jpg, distances: [     2.0302      9.8369      2.7591     0.98674], match: True, time: 0.23538804054260254
image path: G006_IMG053.jpg, distances: [     6.1639      422.72      377.21      9.5146], match: False, time: 0.3163127899169922
image path: G006_IMG054.jpg, distances: [     2103.2      643.79      1827.3        1177], match: False, time: 0.3381969928741455
image path: G006_IMG055.jpg, distances: [      1.216      5.9876      9.3903      4.7582], match: True, time: 0.23743271827697754
image path: G006_IMG056.jpg, distances: [     7.4225      10.482      6.2516      13.849], match: True, time: 0.38222455978393555
image path: G006_IMG057.jpg, distances: [     12.092      7.6243      7.6893      5.9694], match: True, time: 0.2888147830963135
image path: G006_IMG058.jpg, distances: [     4.1052      6.9736      2.5317      11.278], match: True, time: 0.23963356018066406
image path: G006_IMG059.jpg, distances: [     5.7441      2.5713      8.6952      2.9312], match: True, time: 0.24661803245544434
image path: G006_IMG060.jpg, distances: [      5.969      7.8611      106.48      103.33], match: False, time: 0.3185853958129883
image path: G006_IMG061.jpg, distances: [     12.506      12.216      3.0046      7.5931], match: True, time: 0.3303494453430176
image path: G006_IMG062.jpg, distances: [     7.8951      7.4967      3.9842      10.796], match: True, time: 0.21595191955566406
image path: G006_IMG063.jpg, distances: [     11.097      3.0237      7.5553       11.83], match: True, time: 0.4082326889038086
image path: G006_IMG064.jpg, distances: [     2.7142      4.8244      10.719      7.5273], match: True, time: 0.4040207862854004
image path: G006_IMG065.jpg, distances: [     4.4297       3.334      2.4239      13.241], match: True, time: 0.35680556297302246
image path: G006_IMG066.jpg, distances: [     4.7163      11.745      1.6367      5.4762], match: True, time: 0.33742690086364746
image path: G006_IMG067.jpg, distances: [     11.409      5.4166      13.068      8.3852], match: True, time: 0.3953382968902588
image path: G006_IMG068.jpg, distances: [     8.1567      2.8111      6.4101      6.4616], match: True, time: 0.324648380279541
image path: G006_IMG069.jpg, distances: [      2.967      5.8053      5.4973     0.51618], match: True, time: 0.3397786617279053
image path: G006_IMG070.jpg, distances: [     4.6787      13.971       5.388      12.563], match: True, time: 0.30644869804382324
image path: G006_IMG071.jpg, distances: [     10.071      6.8413      6.2481      6.4089], match: True, time: 0.45098447799682617
image path: G006_IMG072.jpg, distances: [     2474.7      3236.2        2226      1477.3], match: False, time: 0.22311067581176758
image path: G006_IMG073.jpg, distances: [     14.747      6.0906      2.6317      7.8181], match: True, time: 0.271437406539917
image path: G006_IMG074.jpg, distances: [     13.117      8.5022      4.7863      1.5899], match: True, time: 0.2825202941894531
image path: G006_IMG075.jpg, distances: [     11.204      1.7026      10.504      3.4697], match: True, time: 0.24135422706604004
image path: G006_IMG076.jpg, distances: [     13.233      16.343      3.2613      5.5312], match: True, time: 0.2801837921142578
image path: G006_IMG077.jpg, distances: [      10.03      5.7931      11.642      5.7427], match: True, time: 0.24733543395996094
image path: G006_IMG078.jpg, distances: [     19.173      3.7205      4.6338      16.861], match: True, time: 0.33601927757263184
image path: G006_IMG079.jpg, distances: [     10.029      3.1726      1.6252      10.447], match: True, time: 0.34087538719177246
image path: G006_IMG080.jpg, distances: [     10.921     0.83466      18.389      12.709], match: True, time: 0.23362493515014648
