image path: G000_IMG079.jpg, distances: [      8.923      5.0218      2.1445      3.2519], match: True, time: 5.6865315437316895
image path: G000_IMG080.jpg, distances: [     3.3941      4.7445      2.4665      10.343], match: True, time: 6.772326231002808
image path: G000_IMG081.jpg, distances: [     1.3871      5.6532       4.339      1.6274], match: True, time: 6.270910978317261
image path: G000_IMG082.jpg, distances: [     3.5517      2.8488       3.334      2.6495], match: True, time: 6.132049560546875
image path: G000_IMG083.jpg, distances: [     6.5841         3.6      10.675      2.8228], match: True, time: 4.900872468948364
image path: G000_IMG084.jpg, distances: [     8.6528      6.9938      7.7196      2.0327], match: True, time: 6.382451057434082
image path: G000_IMG085.jpg, distances: [     4.9177      7.2643      8.1963      6.0708], match: True, time: 5.139490604400635
image path: G000_IMG086.jpg, distances: [     4.6039      4.8556       2.822      3.2725], match: True, time: 5.288496494293213
image path: G000_IMG087.jpg, distances: [     5.8684      5.9484      1.1739      5.0101], match: True, time: 4.226130962371826
image path: G000_IMG088.jpg, distances: [     3.9941      6.0698      6.9812      1.8418], match: True, time: 6.724724769592285
image path: G000_IMG089.jpg, distances: [     1.8569      3.5924      4.1421      5.0966], match: True, time: 6.407858610153198
image path: G000_IMG090.jpg, distances: [     1.6709      5.2364      1.3822      3.9105], match: True, time: 6.405850172042847
image path: G000_IMG091.jpg, distances: [       7.49      5.0335      2.3087      5.1142], match: True, time: 5.43167781829834
image path: G000_IMG092.jpg, distances: [     6.3099       3.186      2.8477      5.4448], match: True, time: 7.069223642349243
image path: G000_IMG093.jpg, distances: [     2.3436      5.0589      110.35      102.44], match: False, time: 5.7848052978515625
image path: G000_IMG094.jpg, distances: [     2.7866      2.5241      2.3087      3.8716], match: True, time: 8.007234811782837
image path: G000_IMG095.jpg, distances: [     6.6354      2.0939      6.0371      8.2006], match: True, time: 6.646135330200195
image path: G000_IMG096.jpg, distances: [     1.4422      1.8557        4.45     0.83683], match: True, time: 6.827040910720825
image path: G000_IMG097.jpg, distances: [     230.26      233.04     0.13458      5.7048], match: False, time: 4.651727676391602
image path: G000_IMG098.jpg, distances: [     3.3811      3.9542      7.8525      4.4216], match: True, time: 5.870941638946533
image path: G000_IMG099.jpg, distances: [     3.1144      7.0794      2.0877      2.4778], match: True, time: 5.382995128631592
image path: G000_IMG100.jpg, distances: [     5.5659      3.1699      6.1044      1.0821], match: True, time: 6.306488990783691
image path: G000_IMG101.jpg, distances: [     9.7333      1.6197      6.0812      6.2876], match: True, time: 4.932055711746216
image path: G000_IMG102.jpg, distances: [     2.7526      4.6245      3.9724      3.6599], match: True, time: 6.475705862045288
image path: G006_IMG000.jpg, distances: [     2.2073       3.428      7.4025      5.2533], match: True, time: 5.649990797042847
image path: G006_IMG001.jpg, distances: [     5.1964      1.5875      13.537      6.9745], match: True, time: 6.442837715148926
image path: G006_IMG002.jpg, distances: [      1.274      18.037      18.568      4.0777], match: True, time: 6.7132227420806885
image path: G006_IMG003.jpg, distances: [      10.48      3.2063      7.1524      10.961], match: True, time: 5.9725892543792725
image path: G006_IMG004.jpg, distances: [     9.5909      3.7302      3.5235      7.3617], match: True, time: 6.118295192718506
image path: G006_IMG005.jpg, distances: [    0.27297      12.277      8.2657      5.6149], match: True, time: 6.957510948181152
image path: G006_IMG006.jpg, distances: [     19.216      4.1484      2.0176      6.7622], match: True, time: 6.382697105407715
image path: G006_IMG007.jpg, distances: [     520.84      507.96      3.9914      4.3115], match: False, time: 5.471980094909668
image path: G006_IMG008.jpg, distances: [     1.9113       3.131      17.073      11.951], match: True, time: 4.8898797035217285
image path: G006_IMG009.jpg, distances: [      2.846      11.172      332.46      23.417], match: False, time: 5.957157611846924
image path: G006_IMG010.jpg, distances: [     13.958      4.5849      3.5703      4.5688], match: True, time: 5.169195175170898
image path: G006_IMG011.jpg, distances: [      4.419      1.6205      4.7927      3.5747], match: True, time: 5.821310520172119
image path: G006_IMG012.jpg, distances: [     5.1902      4.8788      7.2199      2.7618], match: True, time: 5.174395561218262
image path: G006_IMG013.jpg, distances: [     234.68       77.09      5.2716      2.9846], match: False, time: 4.825830459594727
image path: G006_IMG014.jpg, distances: [     4.4424      10.417      8.7396      8.4798], match: True, time: 4.818596601486206
image path: G006_IMG015.jpg, distances: [     3.5375      10.037      6.3037      4.6825], match: True, time: 6.682553052902222
image path: G006_IMG016.jpg, distances: [     10.546      4.0034       3.101       9.796], match: True, time: 5.073729753494263
image path: G006_IMG017.jpg, distances: [     1.1344       1.794      14.724      6.2989], match: True, time: 5.81751823425293
image path: G006_IMG018.jpg, distances: [     4.1073      2.2329      436.81      346.38], match: False, time: 6.12070369720459
image path: G006_IMG019.jpg, distances: [     7.9374      1.6422      5.1666       4.395], match: True, time: 6.802994966506958
image path: G006_IMG020.jpg, distances: [     9.4199       8.074      1.6824       11.67], match: True, time: 5.1742143630981445
image path: G006_IMG021.jpg, distances: [     3.5521      2.5035      4.8367      1.1229], match: True, time: 6.416211128234863
image path: G006_IMG022.jpg, distances: [     4.1195       2.202      9.3829      10.401], match: True, time: 7.032119989395142
image path: G006_IMG023.jpg, distances: [     6.1385      5.0046      9.4997      4.5821], match: True, time: 4.767494201660156
image path: G006_IMG024.jpg, distances: [    0.96465      5.9351       4.993      5.9718], match: True, time: 6.124725580215454
image path: G006_IMG025.jpg, distances: [     1.6704      7.0046      16.657      4.2092], match: True, time: 5.995351076126099
image path: G006_IMG026.jpg, distances: [     1347.3      1250.6      1542.5        1048], match: False, time: 6.051134347915649
image path: G006_IMG027.jpg, distances: [     187.97       314.6      3.6673      8.5215], match: False, time: 5.8476011753082275
image path: G006_IMG028.jpg, distances: [     11.537      3.2936      14.017      17.224], match: True, time: 5.3817572593688965
image path: G006_IMG029.jpg, distances: [     4.9453      1.8221      3.2828      2.8355], match: True, time: 4.88057017326355
image path: G006_IMG030.jpg, distances: [     2.1858      3.2048      2.3577      4.2757], match: True, time: 6.54616904258728
image path: G006_IMG031.jpg, distances: [     8.9119      2.6998      3.3394      3.0414], match: True, time: 5.419985771179199
image path: G006_IMG032.jpg, distances: [     1.1245     0.28163      11.935      4.7763], match: True, time: 7.092348575592041
image path: G006_IMG033.jpg, distances: [     7.3449      3.7348      1.7638      3.8509], match: True, time: 5.791680097579956
image path: G006_IMG034.jpg, distances: [     5.3117      14.855      8.6387      4.4186], match: True, time: 5.521424770355225
image path: G006_IMG035.jpg, distances: [     1.9768      7.2384      1.4866      2.5809], match: True, time: 6.482727766036987
